formula,neg_inflation,s_temp,e_temp,temp_range,Mn,Fe,Cr,Cu,Ge,Ga,Mn,Zn,Sn,Nb,Si,Ag,Re,Ni,Sb,N,C,B
Mn3Cu0.6Ge0.4N0.85C0.15,-22.34,85,137,52,3,,,0.6,0.4,0,,0,0,0,0,0,,,,0.85,0.15,
Mn3Cu0.8Ge0.2N,-60.27,119.68,164.68,45,3,,,0.8,0.2,0,,0,0,0,0,0,,,,1,0,
Mn3Cu0.7Ag0.1Ge0.2N,-66.5,159.5,189.5,30,3,,,0.7,0.2,0,,0,0,0,0,0.1,,,,1,0,
Mn3Cu0.6Ag0.2Ge0.2N,-64.49,174.74,205.06,30.32,3,,,0.6,0.2,0,,0,0,0,0,0.2,,,,1,0,
Mn3Cu0.5Ag0.3Ge0.2N,-45.024,184.68,225.25,40.58,3,,,0.5,0.2,0,,0,0,0,0,0.3,,,,1,0,
Mn3Cu0.6Si0.05Ge0.35N,-30,216.01,267.97,51.96,3,,,0.6,0.35,0,,0,0,0,0.05,0,,,,1,0,
Mn3Cu0.6Si0.1Ge0.3N,-29.35,176.14,240.2,64.05,3,,,0.6,0.3,0,,0,0,0,0.1,0,,,,1,0,
Mn3Cu0.6Si0.15Ge0.25N,-9.88,79.41,199.67,120.26,3,,,0.6,0.25,0,,0,0,0,0.15,0,,,,1,0,
Mn3AgN,-22.43,270.1,288.7,18.6,3,,,0,0,0,,0,0,0,0,1,,,,1,0,
Mn3Ag0.98Nb0.02N,-14.1,267.6,287.3,19.7,3,,,0,0,0,,0,0,0.02,0,0.98,,,,1,0,
Mn3Ag0.96Nb0.04N,-20,266.4,287.5,20.9,3,,,0,0,0,,0,0,0.04,0,0.96,,,,1,0,
Mn3Ag0.94Nb0.06N,-24,266.3,284.9,18.6,3,,,0,0,0,,0,0,0.06,0,0.94,,,,1,0,
Mn3Ag0.92Nb0.08N,-21.5,266.3,287.3,21,3,,,0,0,0,,0,0,0.08,0,0.92,,,,1,0,
Mn3Ag0.9Nb0.1N,-18.2,260.1,284.8,24.7,3,,,0,0,0,,0,0,0.1,0,0.9,,,,1,0,
Mn3GaN,-60.5,282,325,43,3,,,0,0,1,,0,0,0,0,0,,,,1,0,
Mn3Ga0.9Ge0.1N,-22.1,276,334,58,3,,,0,0.1,0.9,,0,0,0,0,0,,,,1,0,
Mn3Ga0.8Ge0.2N,-20,351,411,60,3,,,0,0.2,0.8,,0,0,0,0,0,,,,1,0,
Mn3Ga0.7Ge0.3N,-18,370,438,68,3,,,0,0.3,0.7,,0,0,0,0,0,,,,1,0,
Mn3Ga0.6Ge0.4N,-12.6,421,473,53,3,,,0,0.4,0.6,,0,0,0,0,0,,,,1,0,
Mn3Ga0.5Ge0.5N,-0.1,423,475,52,3,,,0,0.5,0.5,,0,0,0,0,0,,,,1,0,
Mn3Ga0.9Sn0.1N,-145,265,332,67,3,,,0,0,0.9,,0,0.1,0,0,0,,,,1,0,
Mn3Ga0.8Sn0.2N,-38.4,314,373,59,3,,,0,0,0.8,,0,0.2,0,0,0,,,,1,0,
Mn3Ga0.7Sn0.3N,-24,335,396,61,3,,,0,0,0.7,,0,0.3,0,0,0,,,,1,0,
Mn3Ga0.6Sn0.4N,-15.6,355,422,67,3,,,0,0,0.6,,0,0.4,0,0,0,,,,1,0,
Mn3Ga0.5Sn0.5N,-12,407,458,51,3,,,0,0,0.5,,0,0.5,0,0,0,,,,1,0,
Mn3Ga0.4Sn0.6N,-6.5,451,489,38,3,,,0,0,0.4,,0,0.6,0,0,0,,,,1,0,
Mn3Ga0.3Sn0.7N,-0.45,480,513,33,3,,,0,0,0.3,,0,0.7,0,0,0,,,,1,0,
Mn2.95Cu0.1Sn0.55Zn0.4N,-34,330,365,35,2.95,,,0.1,0,0,,0.4,0.55,0,0,0,,,,1,0,
Mn3.1Zn0.5Sn0.4N,-36.4,335,375,40,3,,,0,0,0,0.1,0.5,0.4,0,0,0,,,,1,0,
Mn3.25Zn0.5Sn0.25N,-31.13,299.02,344.12,45.1,3,,,0,0,0,0.25,0.5,0.25,0,0,0,,,,1,0,
Mn3Ga0.6Sn0.4N,-31.33,372.55,418.63,46.08,3,,,0,0,0.6,,0,0.4,0,0,0,,,,1,0,
Mn3Cu0.5Sn0.4N,-18.4,298.04,337.25,39.21,3,,,0.5,0,0,,0,0.4,0,0,0,,,,1,0,
Mn3.27Zn0.45Sn0.28N,-30.3,265,325,60,3,,,0,0,0,0.27,0.45,0.28,0,0,0,,,,1,0,
