,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,断面收缩率,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,热处理工艺,夹杂物,晶粒度,最大晶粒度,渗氮,渗碳,试验单位-金相组织,金相组织,马氏体转变开
434,14CrMnSiNi2MoA,_,光滑,_,纵向,,091294,2.0,25.0,0.0,68.0,13.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:160℃;淬火:860℃+ 800~820℃ (油冷);正火:NaN;退火:NaN,,,,,,,,
435,14CrMnSiNi2MoA,_,光滑,_,弦向,,091294,1.0,25.0,0.0,63.0,14.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
436,14CrMnSiNi2MoA,_,光滑,_,弦向,,091294,1.0,25.0,0.0,59.0,15.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
437,14CrMnSiNi2MoA,_,光滑,_,弦向,,091294,1.0,25.0,0.0,63.0,16.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
438,14CrMnSiNi2MoA,_,光滑,_,径向,,091294,1.0,25.0,0.0,62.0,17.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
439,14CrMnSiNi2MoA,_,光滑,_,径向,,091294,1.0,25.0,0.0,65.0,18.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
440,14CrMnSiNi2MoA,_,光滑,_,高向,,091294,1.0,25.0,0.0,61.0,19.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
441,14CrMnSiNi2MoA,_,光滑,_,高向,,091294,1.0,25.0,0.0,64.0,20.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
442,14CrMnSiNi2MoA,_,光滑,_,高向,,091294,1.0,25.0,0.0,51.0,21.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:200℃;淬火:840℃ (油冷);正火:NaN;退火:NaN,NaN,0,0,NaN,NaN,NaN,回火马氏体,0
443,14CrMnSiNi2MoA,_,光滑,_,纵向,,091294,2.0,25.0,0.0,61.0,22.0,_,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.7,1.4,0.02,0.02,0.8,0.5,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:NaN;热处理1:NaN;渗氮:NaN;渗碳:NaN;回火:160℃;淬火:860℃+ 800~820℃ (油冷);正火:NaN;退火:NaN,,,,,,,,
