,钢号,试验单位,缺口形状,试样尺寸,取样方向,试验方法,炉号,热处理号,温度,样品数,伸长率10,序号,试验单位-化学成分,铈,镧,钙,钴,铝(不可溶),铝(可溶),铌,钛,硼,铜,钨,钒,钼,镍,铬,硫,磷,锰,硅,碳,锶,硒,钠,汞,镉,银,砷,铋,锌,锑,锡,铅,铁,稀土,氮气,氧气,氢气,氮,氧,氢,镁,热处理工艺,夹杂物,晶粒度,最大晶粒度,渗氮,渗碳,试验单位-金相组织,金相组织,马氏体转变开
20,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,6.0,25.0,2.0,18.75,6.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
21,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88135,7.0,25.0,2.0,18.5,7.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.013,0.24,0.0,0.0,3.4,0.0,0.0,0.0,4.6,15.51,0.008,0.022,0.3,0.52,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 670℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
22,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,8.0,25.0,2.0,22.5,8.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 990℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
23,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,9.0,25.0,2.0,19.75,9.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 1015℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
24,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,5.0,25.0,2.0,18.0,10.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 630℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
25,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,6.0,25.0,2.0,17.5,11.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
26,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,7.0,25.0,2.0,17.25,12.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 670℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
27,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,10.0,25.0,2.0,21.0,13.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 1(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
28,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88100,11.0,25.0,2.0,20.5,14.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 650℃ 1(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 油冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
29,0Cr17Ni4Cu4Nb,哈尔滨汽轮机厂,光滑,_,纵向,GB228-76,88331,12.0,25.0,2.0,19.5,15.0,哈尔滨汽轮机厂,0.0,0.0,0.0,0.0,0.0,0.01,0.36,0.01,0.0,3.0,0.0,0.0,0.0,4.34,15.22,0.011,0.021,0.33,0.39,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,0.0,热处理4:NaN;热处理3:NaN;热处理2:中间一次时效 590℃ 4(h) 空冷;热处理1:固溶热处理 1040℃ 1(h) 空冷;渗氮:NaN;渗碳:NaN;回火:NaN;淬火:NaN;正火:NaN;退火:NaN,,,,,,,,
