Hz_1,Hz_2,Hz_3,u_1,u_2,u_3,widths_1,widths_2,widths_3,width_heights_1,width_heights_2,width_heights_3,prominences_1,prominences_2,prominences_3,minRL
2.84,6.08,16.72,0.44655,0.498411,0.239002,12.213751446024595,107.12351411442313,16.45435143920264,0.4331124999999999,0.43882442857142845,0.2347085,0.018674999999999997,0.11669714285714283,0.011914428571428576,-12.8772
2.76,6.08,15.08,0.465242,0.502574,0.303935,12.16492226064209,106.11818782391225,15.66825021059526,0.4504035714285713,0.450285357142857,0.2975334999999999,0.023105714285714174,0.1030618571428572,0.012391857142857177,-14.5072
2.76,6.2,15.16,0.354818,0.370023,0.300049,14.952254636774589,104.1748467097248,20.171294515393356,0.33756335714285707,0.3366003571428571,0.2914701428571428,0.03015100000000004,0.06474585714285713,0.015775428571428607,-10.5824
2.72,4.2,15.16,0.461715,0.468831,0.301196,15.46151929748598,47.10462814030547,17.050461645769246,0.4449220714285713,0.44103649999999994,0.2949741428571428,0.03365157142857145,0.05108328571428572,0.010908571428571379,-14.634
2.72,6.28,10.4,0.419782,0.439753,0.647478,15.287983516093965,17.569168341309535,58.95331016270282,0.4028472142857142,0.4354660714285713,0.5097089999999999,0.03293899999999994,0.012207571428571429,0.2739891428571428,-16.6905
2.76,4.32,15.6,0.44336,0.460859,0.289672,15.256896845713149,80.49277574178745,20.760577440899283,0.42414635714285703,0.4252894999999999,0.28171771428571424,0.033275000000000055,0.07215271428571429,0.01479457142857149,-17.8511
3.52,12.24,14.76,0.4735,0.2235,0.2058,37.87339349193337,5.472222222222371,17.66279069767438,0.4478357142857141,0.22155714285714279,0.20341428571428566,0.04241428571428568,0.001028571428571462,0.0020000000000000018,-17.7841
3.56,8.4,15.48,0.3696,0.2585,0.1415,36.02175672940696,6.376838235294144,28.288949275362256,0.3482428571428571,0.2569428571428571,0.13602142857142854,0.048142857142857154,0.0011142857142857343,0.00904285714285713,-10.583
3.72,8.36,13.64,0.4357,0.3286,0.2239,45.744047619047436,10.083783783783957,15.058743169398952,0.40435714285714275,0.32775714285714275,0.22132857142857137,0.06762857142857143,0.002514285714285691,0.0057142857142856995,-10.3726
3.64,8.4,13.64,0.5003,0.403,0.3432,37.91216601498867,14.999473684210557,50.03225806451616,0.46866428571428553,0.40049285714285704,0.33745714285714273,0.05595714285714276,0.003414285714285703,0.01165714285714281,-14.5407
3.52,12.6,14.88,0.4443,0.3068,0.3099,35.377068014705856,26.612534489554633,46.12857142857172,0.4200642857142856,0.3029357142857142,0.3037571428571427,0.04252857142857147,0.0061571428571428055,0.00954285714285713,-11.7527
3.48,6.16,13.64,0.3681,0.3578,0.3002,110.34584998605817,25.118181818181753,14.691176470588687,0.3376714285714285,0.3518714285714285,0.2980642857142856,0.06214285714285711,0.011571428571428566,0.0025285714285714356,-9.9096
3.48,5.6,12.68,0.3436,0.3252,0.2719,45.09579772079775,22.36153846153853,30.440000000000055,0.3207714285714285,0.3202357142857142,0.26564285714285707,0.047599999999999976,0.006185714285714239,0.011628571428571433,-7.9794
3.44,5.96,12.64,0.3625,0.3411,0.2752,99.46761080514028,20.97703035274823,11.706043956043573,0.32924285714285706,0.33589999999999987,0.2738142857142857,0.06588571428571427,0.0064571428571428835,0.002085714285714302,-8.7048
4.44,8.88,13.36,0.4334,0.4101,0.3612,101.93646549528903,34.98348684756448,43.00952380952384,0.3856285714285713,0.39527857142857137,0.34102857142857135,0.08979999999999994,0.02889999999999998,0.04477142857142852,-12.4248
3.56,6.04,12.6,0.3725,0.3583,0.3027,131.53117505995192,30.410000000000096,22.248949579831617,0.3335928571428571,0.35555714285714274,0.2998071428571428,0.07332857142857141,0.005800000000000027,0.004642857142857115,-10.9511
3.68,8.6,13.56,0.4081,0.3603,0.3065,98.76125605106459,24.21821475625825,19.43297101449275,0.36700714285714275,0.3560642857142856,0.30404999999999993,0.08358571428571426,0.007185714285714351,0.002757142857142847,-10.7852
3.72,5.8,12.6,0.4726,0.4669,0.3783,112.43351898734176,27.475909090909028,24.349588719153815,0.4330857142857142,0.46449285714285704,0.37399999999999994,0.08539999999999992,0.009157142857142808,0.006371428571428583,-13.6758
