16.00,-30.00,13.00,-26.00,-14.00,-5.00,-32.00,-23.00,-50.00,-3.00,-18.00,0.00,-55.00,-56.00,-9.00,-21.00,-53.00,-24.50,-68.00,-53.00,0.00,0.00,-48.00,-9.00,-59.00,-13.00,-18.00,-21.00,-53.00,-51.00,-2.00,-30.50,16.00,6.00,-52.00,0.00,1.00,-1.00,1.00,-62.00,-43.00,-53.00,-5.00,-16.00,-52.00,-55.00,-57.00,-56.00,-50.00,-34.00,-16.00,-53.00,-22.00,-13.00,-76.00
-30.00,-38.00,-73.00,-47.00,16.00,-29.00,-116.00,8.00,0.00,-17.00,17.00,-21.00,0.00,1.00,5.00,-41.00,0.00,-73.50,15.00,0.00,-39.00,-48.00,0.00,6.00,1.00,-7.00,3.00,31.00,36.00,0.00,-27.00,-112.50,-51.00,-82.00,0.00,-80.00,-50.00,-28.00,-71.00,2.00,-73.00,0.00,-53.00,14.00,33.00,0.00,20.00,1.00,15.00,22.00,32.00,0.00,8.00,-31.00,13.00
-16.00,-4.00,-37.00,-6.00,0.00,-5.00,-61.00,-1.00,70.00,8.00,35.00,-5.00,9.00,9.00,26.00,-9.00,8.00,-34.50,30.00,8.00,-12.00,-9.00,6.00,0.00,10.00,0.00,19.00,49.00,51.00,7.00,1.00,-45.50,-21.00,40.00,7.00,-33.00,-14.00,5.00,-28.00,12.00,-30.00,8.00,-18.00,0.00,48.00,9.00,34.00,9.00,30.00,37.00,50.00,8.00,-1.00,-7.00,27.00
-30.00,-39.00,-75.00,-54.00,24.00,-35.00,-119.00,14.00,1.00,-27.00,5.00,-24.00,0.00,0.00,-7.00,-40.00,0.00,-71.50,8.00,0.00,-34.00,-59.00,1.00,10.00,0.00,-5.00,-6.00,17.00,23.00,0.00,-36.00,-114.50,-45.00,-87.00,0.00,-88.00,-59.00,-40.00,-66.00,0.00,-75.00,0.00,-49.00,21.00,21.00,0.00,11.00,0.00,7.00,11.00,16.00,0.00,14.00,-31.00,6.00
-10.00,-2.00,-32.00,-4.00,-4.00,-3.00,-55.00,-6.00,-7.00,3.00,24.00,-3.00,-6.00,-5.00,18.00,-4.00,-6.00,-26.50,10.00,-6.00,-4.00,-13.00,-7.00,0.00,-5.00,0.00,10.00,36.00,32.00,-6.00,-4.00,-39.50,-8.00,-40.00,-6.00,-35.00,-17.00,0.00,-16.00,-3.00,-26.00,-6.00,-9.00,-4.00,30.00,-6.00,16.00,-5.00,14.00,23.00,38.00,-6.00,-6.00,-4.00,6.00
13.00,-19.00,-11.00,-32.00,29.00,-10.00,-66.00,19.00,1.00,-5.00,2.00,4.00,-3.00,-4.00,0.00,-13.00,-1.00,-31.50,-12.00,-2.00,3.00,-18.00,3.00,19.00,-6.00,10.00,0.00,5.00,-4.00,0.00,-8.00,-57.50,7.00,-23.00,0.00,-28.00,-16.00,-11.00,-11.00,-8.00,-45.00,-1.00,-7.00,27.00,-4.00,-3.00,-8.00,-4.00,-5.00,-1.00,6.00,-1.00,19.00,6.00,-15.00
37.00,-5.00,3.00,-34.00,73.00,-7.00,-67.00,56.00,29.00,-5.00,0.00,19.00,22.00,20.00,-2.00,7.00,24.00,-13.50,-4.00,22.00,33.00,-21.00,31.00,49.00,17.00,36.00,5.00,0.00,-6.00,26.00,-7.00,-53.50,42.00,-15.00,26.00,-28.00,-15.00,-14.00,17.00,11.00,-35.00,24.00,20.00,69.00,-5.00,22.00,-4.00,19.00,2.00,0.00,0.00,24.00,55.00,12.00,-6.00
16.00,-18.00,-32.00,-54.00,81.00,-25.00,-102.00,63.00,34.00,-25.00,-7.00,3.00,27.00,26.00,-16.00,-8.00,30.00,-36.50,4.00,28.00,15.00,-53.00,36.00,51.00,23.00,32.00,-4.00,-6.00,0.00,32.00,-30.00,-89.50,17.00,-53.00,32.00,-67.00,-46.00,-41.00,-11.00,18.00,-56.00,30.00,-1.00,76.00,0.00,28.00,2.00,25.00,4.00,-1.00,-8.00,30.00,61.00,-1.00,4.00
-29.00,-38.00,-73.00,-49.00,18.00,-31.00,-116.00,10.00,0.00,-20.00,13.00,-22.00,0.00,0.00,1.00,-40.00,0.00,-101.50,13.00,0.00,-37.00,-51.00,0.00,7.00,0.00,-6.00,0.00,26.00,32.00,0.00,-30.00,-112.50,-49.00,-83.00,0.00,-82.00,-53.00,-32.00,-69.00,2.00,-73.00,0.00,-51.00,16.00,29.00,0.00,17.00,0.00,12.00,18.00,26.00,0.00,9.00,-31.00,10.00
15.00,-22.00,7.00,-24.00,0.00,-4.00,-39.00,-7.00,-28.00,0.00,-7.00,4.00,-32.00,-34.00,-2.00,-15.00,-31.00,-23.50,-42.00,-31.00,2.00,-2.00,-27.00,1.00,-36.00,-4.00,-8.00,-7.00,-30.00,-30.00,0.00,-34.50,13.00,0.00,-30.00,-5.00,-1.00,0.00,-1.00,-39.00,-40.00,-31.00,-4.00,-1.00,-29.00,-32.00,-35.00,-34.00,-29.00,-18.00,-3.00,-31.00,-7.00,-9.00,-49.00
-18.50,-20.50,-13.50,0.50,-85.50,-3.50,-4.50,-81.50,-112.50,-35.50,-49.50,-17.50,-112.50,-113.50,-39.50,-18.50,-113.50,-17.00,-117.50,-111.50,-10.50,-30.50,-112.50,-45.50,-114.50,-39.50,-57.50,-53.50,-89.50,-112.50,-34.50,0.00,4.50,-36.50,-112.50,-34.50,-34.50,-30.50,2.50,-112.50,-25.50,-113.50,-7.50,-81.50,-89.50,-113.50,-100.50,-112.50,-98.50,-70.50,-46.50,-113.50,-80.50,-17.50,-127.50
3.00,10.00,2.00,30.00,-62.00,25.00,-13.00,-52.00,-50.00,17.00,28.00,15.00,-46.00,-45.00,29.00,5.00,-48.00,-7.50,-23.00,-46.00,-1.00,16.00,-51.00,-21.00,-45.00,-8.00,7.00,42.00,17.00,-49.00,13.00,4.50,0.00,-18.00,-49.00,-5.00,6.00,25.00,1.00,-40.00,-2.00,-48.00,2.00,-56.00,15.00,-47.00,-8.00,-45.00,-9.00,15.00,49.00,-48.00,-50.00,5.00,-33.00
